iter	Passed	Remaining
0	132	132149
1	133	66551
2	134	44682
3	135	33728
4	136	27236
5	137	22845
6	141	20093
7	143	17796
8	144	15953
9	146	14454
10	147	13230
11	148	12200
12	149	11327
13	150	10580
14	151	9930
15	152	9360
16	155	8990
17	157	8603
18	158	8206
19	160	7859
20	161	7541
21	162	7243
22	164	6969
23	165	6712
24	166	6474
25	166	6255
26	169	6093
27	170	5912
28	171	5736
29	172	5572
30	173	5418
31	174	5274
32	175	5139
33	176	5010
34	177	4889
35	178	4777
36	179	4669
37	180	4567
38	183	4517
39	184	4434
40	185	4348
41	187	4267
42	188	4186
43	189	4107
44	190	4032
45	191	3961
46	191	3892
47	192	3826
48	196	3819
49	198	3780
50	200	3727
51	201	3671
52	202	3616
53	203	3564
54	204	3512
55	205	3462
56	206	3413
57	207	3366
58	208	3324
59	210	3299
60	212	3270
61	213	3234
62	214	3195
63	215	3157
64	216	3120
65	218	3085
66	219	3054
67	222	3044
68	226	3054
69	227	3027
70	229	2999
71	230	2970
72	231	2940
73	232	2910
74	233	2884
75	234	2856
76	235	2827
77	236	2799
78	239	2788
79	244	2806
80	245	2790
81	247	2767
82	247	2738
83	249	2720
84	250	2697
85	251	2675
86	256	2686
87	258	2679
88	259	2658
89	261	2641
90	262	2619
91	263	2598
92	264	2582
93	266	2564
94	267	2545
95	271	2555
96	272	2540
97	274	2527
98	275	2510
99	276	2492
100	277	2473
101	279	2457
102	280	2442
103	281	2427
104	284	2423
105	286	2413
106	287	2397
107	288	2381
108	289	2365
109	290	2351
110	291	2336
111	292	2321
112	293	2306
113	295	2293
114	298	2300
115	301	2300
116	303	2287
117	304	2273
118	305	2259
119	306	2247
120	307	2235
121	308	2221
122	309	2207
123	315	2225
124	316	2213
125	317	2202
126	318	2189
127	319	2177
128	320	2165
129	321	2152
130	322	2141
131	323	2130
132	325	2118
133	330	2136
134	332	2127
135	334	2122
136	335	2114
137	336	2104
138	337	2093
139	339	2085
140	343	2092
141	345	2087
142	347	2080
143	348	2070
144	349	2059
145	350	2050
146	352	2042
147	353	2033
148	354	2025
149	364	2066
150	368	2071
151	370	2064
152	378	2092
153	381	2093
154	384	2095
155	386	2088
156	387	2080
157	391	2088
158	393	2083
159	395	2074
160	395	2063
161	396	2053
162	397	2043
163	398	2033
164	400	2024
165	401	2015
166	402	2005
167	404	2003
168	406	1998
169	407	1989
170	408	1981
171	409	1972
172	410	1963
173	411	1954
174	412	1945
175	414	1938
176	415	1930
177	416	1921
178	417	1913
179	420	1915
180	422	1911
181	423	1904
182	424	1897
183	426	1890
184	427	1882
185	429	1877
186	430	1869
187	431	1862
188	432	1854
189	435	1858
190	437	1853
191	438	1846
192	439	1839
193	441	1832
194	442	1825
195	443	1817
196	444	1810
197	445	1803
198	446	1796
199	447	1789
200	451	1795
201	453	1789
202	454	1783
203	455	1776
204	456	1769
205	457	1762
206	458	1755
207	459	1748
208	460	1741
209	461	1734
210	462	1728
211	466	1732
212	467	1727
213	469	1722
214	470	1716
215	471	1710
216	472	1703
217	473	1697
218	474	1691
219	475	1684
220	476	1678
221	477	1672
222	482	1681
223	483	1676
224	485	1670
225	486	1665
226	487	1659
227	488	1653
228	556	1873
229	559	1871
230	569	1895
231	571	1890
232	572	1885
233	574	1880
234	581	1893
235	583	1889
236	585	1884
237	588	1885
238	598	1907
239	600	1901
240	601	1895
241	636	1994
242	669	2085
243	678	2102
244	682	2103
245	684	2097
246	685	2089
247	692	2099
248	695	2098
249	696	2090
250	698	2083
251	699	2075
252	700	2067
253	701	2060
254	708	2070
255	710	2063
256	711	2056
257	713	2051
258	714	2043
259	715	2036
260	716	2028
261	717	2020
262	723	2027
263	724	2021
264	726	2013
265	727	2006
266	728	1999
267	729	1991
268	730	1984
269	739	1999
270	741	1993
271	742	1988
272	744	1982
273	745	1976
274	756	1995
275	758	1988
276	759	1981
277	760	1974
278	761	1967
279	770	1980
280	771	1974
281	772	1967
282	774	1961
283	775	1955
284	777	1949
285	783	1956
286	785	1952
287	787	1945
288	788	1938
289	789	1932
290	790	1927
291	792	1920
292	794	1916
293	798	1916
294	800	1912
295	801	1906
296	802	1900
297	803	1893
298	804	1886
299	805	1880
300	807	1874
301	813	1879
302	814	1873
303	815	1867
304	816	1860
305	817	1854
306	818	1847
307	819	1841
308	822	1838
309	828	1843
310	829	1838
311	831	1832
312	832	1827
313	835	1824
314	836	1818
315	837	1812
316	839	1808
317	841	1804
318	842	1799
319	844	1794
320	845	1788
321	846	1782
322	848	1777
323	849	1772
324	850	1766
325	856	1771
326	858	1766
327	859	1760
328	860	1755
329	861	1749
330	862	1744
331	863	1738
332	864	1732
333	865	1726
334	870	1728
335	872	1723
336	873	1718
337	875	1714
338	876	1708
339	877	1703
340	878	1697
341	879	1691
342	880	1686
343	883	1684
344	885	1681
345	886	1676
346	887	1670
347	888	1665
348	889	1659
